,Unnamed: 0,Name,ObjType,RA,DEC,Epoch,plx,pmRA,pmDE,SpType,GaiaEDR3
57,543,Ross_440,LM,142.834263593,-13.488581674,2016.0,99.88,692.52,104.68,M3  ,5.690031948585514e+18
59,558,CWISEP_J023842.60-133210.7,BD,39.677455,-13.536971,2016.7,85.8,-62.0,-768.5,>Y1?,
60,4,Barnards_Star,LM,269.448502525,4.739420051,2016.0,546.9759,-801.550978368,10362.394206547,M3.5,4.472832130942576e+18
61,8,Wolf_359,LM,164.103190308,7.002726941,2016.0,415.1794,-3866.338275144,-2699.214987679,M6  ,3.8649729386051154e+18
62,9,HD_95735,LM,165.830959676,35.948653033,2016.0,392.7529,-580.057087214,-4776.588719443,M1.5e   ,7.628154705621105e+17
63,16,HH_And,LM,355.480015258,44.170375701,2016.0,316.4812,112.527464933,-1591.649761815,M5  ,1.92646116491366e+18
64,22,FI_Vir,LM,176.93768799,0.79911997,2016.0,296.3053,607.299076681,-1223.028354888,M4  ,3.7960725922062505e+18
65,27,61_Cyg_1,* ,316.748479294,38.763862446,2016.0,285.9949,4164.208692285,3249.613883849,K5  ,1.8720466093455565e+18
66,28,61_Cyg_2,* ,316.753662753,38.756072772,2016.0,286.0054,4105.976428209,3155.941639827,K7  ,1.8720465749834967e+18
67,29,alf_CMi_1,* ,114.825497908,5.224987557,2000.0,284.56,-714.59,-1036.8,F5  ,
68,30,alf_CMi_2,WD,114.8245,5.2241111,2000.0,284.56,-709.0,-1024.0,DQZ ,
69,31,BD+59_1915,LM,280.683070835,59.638357908,2016.0,283.8401,-1311.679082552,1792.32455583,M3  ,2.154880616774132e+18
71,33,IRAS_00156+4344_1,LM,4.613226258,44.024786744,2016.0,280.7068,2891.518077337,411.832020366,M1  ,3.853342308925165e+17
72,36,IRAS_00156+4344_2,LM,4.625300681,44.028744517,2016.0,280.6947,2862.796426497,336.431903719,M3.5e   ,3.853341965327766e+17
73,37,DX_Cnc,LM,127.450092402,26.773285965,2016.0,279.2496,-1113.693546785,-612.191072829,M6.5,7.037900442528507e+17
74,51,Luytens_Star,LM,111.854628443,5.209382702,2016.0,264.1269,571.232346729,-3691.486565379,M3.5,3.1398479063079496e+18
75,54,Teegardens_Star,LM,43.269642477,16.864373819,2016.0,260.9884,3429.082826808,-3805.541122737,M6  ,3.5227046884571776e+16
76,59,HD_239960_1,LM,336.992112906,57.694032053,2016.0,249.3926,-725.227,-223.461,M3  ,2.007876324466455e+18
77,60,HD_239960_2,LM,336.991386092,57.69410078,2016.0,249.9668,-934.098,-686.244,M4  ,2.0078763244720983e+18
78,64,Ross_614,LM,97.350794774,-2.817130718,2016.0,242.9659,750.14,-802.947,M4.5,3.1171208635239465e+18
80,71,Wolf_28,WD,12.29674025,5.376556608,2016.0,231.78,1231.399465379,-2711.882504485,DZ  ,2.552928187080873e+18
81,72,Wolf_424,LM,188.314492802,9.022091625,2016.0,231.1185,-1795.66090246,217.788566562,M5.5,3.902874650602495e+18
83,75,TZ_Ari,LM,30.058987048,13.044071201,2016.0,223.7321,1096.458485897,-1771.526145379,M4.5,7.68686145400494e+16
84,78,BD+68_946,LM,264.104052573,68.333497638,2016.0,219.7898,-320.67472433,-1269.893286659,M3  ,1.6376451270183956e+18
85,85,GJ_1245_1,LM,298.479759093,44.412330143,2016.0,213.1329,441.562,-434.241,M5.5,2.0790741304638984e+18
