2021-03-19 03:56:38.717749: Observing: GPS-BIIF-1---PRN-25-
2021-03-19 06:24:02.388528 [1.1111111111111112, 0.0]
2021-03-19 06:24:33.454109 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 06:25:07.606658 [0.0, 4.444444444444445]
2021-03-19 06:25:44.485294 [0.0, 1.1111111111111112]
2021-03-19 06:26:18.596907 [0.0, 0.0]
2021-03-19 06:26:49.374742 [0.0, -1.1111111111111112]
2021-03-19 06:27:23.638203 [0.0, -4.444444444444445]
2021-03-19 06:27:58.872510 [-4.444444444444445, 0.0]
2021-03-19 06:28:35.927867 [-1.1111111111111112, 0.0]
2021-03-19 06:29:10.759749 [0.0, 0.0]
2021-03-19 06:29:41.972436 [1.1111111111111112, 0.0]
2021-03-19 06:30:13.444194 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 06:30:50.684217: Observing: GPS-BIIF-4---PRN-27-
2021-03-19 06:30:50.684261: Az, el, state: 65.72, 40.33, Setting
2021-03-19 06:30:51.810051 [0.0, 4.444444444444445]
2021-03-19 06:31:29.315969 [0.0, 1.1111111111111112]
2021-03-19 06:32:06.349279 [0.0, 0.0]
2021-03-19 06:32:37.513581 [0.0, -1.1111111111111112]
2021-03-19 06:33:11.637282 [0.0, -4.444444444444445]
2021-03-19 06:33:48.489427 [-4.444444444444445, 0.0]
2021-03-19 06:34:22.629740 [-1.1111111111111112, 0.0]
2021-03-19 06:34:54.372905 [0.0, 0.0]
2021-03-19 06:35:25.574850 [1.1111111111111112, 0.0]
2021-03-19 06:35:56.435355 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 06:36:27.527263 [0.0, 4.444444444444445]
2021-03-19 06:37:04.444739 [0.0, 1.1111111111111112]
2021-03-19 06:37:38.348575 [0.0, 0.0]
2021-03-19 06:38:09.548063 [0.0, -1.1111111111111112]
2021-03-19 06:38:44.417355 [0.0, -4.444444444444445]
2021-03-19 06:39:19.478428 [-4.444444444444445, 0.0]
2021-03-19 06:39:56.405581 [-1.1111111111111112, 0.0]
2021-03-19 06:40:36.381901 [0.0, 0.0]
2021-03-19 06:41:17.381505 [1.1111111111111112, 0.0]
2021-03-19 06:42:01.442864 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 06:42:46.125402: Observing: GPS-BIIR-4---PRN-20-
2021-03-19 06:42:46.125444: Az, el, state: 23.40, 74.90, Setting
2021-03-19 06:42:47.538199 [0.0, 4.444444444444445]
2021-03-19 06:44:05.322146 [0.0, 1.1111111111111112]
2021-03-19 06:44:49.732571 [0.0, 0.0]
2021-03-19 06:45:29.561759 [0.0, -1.1111111111111112]
2021-03-19 06:46:05.311315 [0.0, -4.444444444444445]
2021-03-19 06:46:39.356607 [-4.444444444444445, 0.0]
2021-03-19 06:47:15.406630 [-1.1111111111111112, 0.0]
2021-03-19 06:47:49.589726 [0.0, 0.0]
2021-03-19 06:48:24.493115 [1.1111111111111112, 0.0]
2021-03-19 06:48:59.367248 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 06:49:36.870681 [0.0, 4.444444444444445]
2021-03-19 06:50:09.496067 [0.0, 1.1111111111111112]
2021-03-19 06:50:43.542926 [0.0, 0.0]
2021-03-19 06:51:14.678667 [0.0, -1.1111111111111112]
2021-03-19 06:51:45.617368 [0.0, -4.444444444444445]
2021-03-19 06:52:19.551448 [-4.444444444444445, 0.0]
2021-03-19 06:52:54.584995 [-1.1111111111111112, 0.0]
2021-03-19 06:53:28.386629 [0.0, 0.0]
2021-03-19 06:53:59.713006 [1.1111111111111112, 0.0]
2021-03-19 06:54:30.498846 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 06:55:04.808075: Observing: GPS-BIII-2---PRN-18-
2021-03-19 06:55:04.808115: Az, el, state: 80.83, 58.26, Setting
2021-03-19 06:55:06.518906 [0.0, 4.444444444444445]
2021-03-19 06:55:49.649089 [0.0, 1.1111111111111112]
2021-03-19 06:56:26.407699 [0.0, 0.0]
2021-03-19 06:57:00.386751 [0.0, -1.1111111111111112]
2021-03-19 06:57:31.465508 [0.0, -4.444444444444445]
2021-03-19 06:58:05.396369 [-4.444444444444445, 0.0]
2021-03-19 06:58:42.360244 [-1.1111111111111112, 0.0]
2021-03-19 06:59:16.553948 [0.0, 0.0]
2021-03-19 06:59:48.601614 [1.1111111111111112, 0.0]
2021-03-19 07:00:23.632780 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 07:00:58.644190 [0.0, 4.444444444444445]
2021-03-19 07:01:36.532625 [0.0, 1.1111111111111112]
2021-03-19 07:02:11.333356 [0.0, 0.0]
2021-03-19 07:02:45.514863 [0.0, -1.1111111111111112]
2021-03-19 07:03:16.464682 [0.0, -4.444444444444445]
2021-03-19 07:03:50.614039 [-4.444444444444445, 0.0]
2021-03-19 07:04:25.948427 [-1.1111111111111112, 0.0]
2021-03-19 07:05:05.284201 [0.0, 0.0]
2021-03-19 07:05:37.658502 [1.1111111111111112, 0.0]
2021-03-19 07:06:09.274081 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 07:06:50.553473: Observing: GPS-BIII-3---PRN-23-
2021-03-19 07:06:50.553516: Az, el, state: 23.57, 72.28, Setting
2021-03-19 07:06:52.190201 [0.0, 4.444444444444445]
2021-03-19 07:07:48.343798 [0.0, 1.1111111111111112]
2021-03-19 07:08:22.331599 [0.0, 0.0]
2021-03-19 07:08:54.879881 [0.0, -1.1111111111111112]
2021-03-19 07:09:27.584815 [0.0, -4.444444444444445]
2021-03-19 07:10:01.809206 [-4.444444444444445, 0.0]
2021-03-19 07:10:45.665981 [-1.1111111111111112, 0.0]
2021-03-19 07:11:16.659777 [0.0, 0.0]
2021-03-19 07:11:50.110858 [1.1111111111111112, 0.0]
2021-03-19 07:12:33.146478 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 07:13:17.758510 [0.0, 4.444444444444445]
2021-03-19 07:13:54.712937 [0.0, 1.1111111111111112]
2021-03-19 07:14:28.318573 [0.0, 0.0]
2021-03-19 07:15:03.876225 [0.0, -1.1111111111111112]
2021-03-19 07:15:35.372179 [0.0, -4.444444444444445]
2021-03-19 07:16:09.520496 [-4.444444444444445, 0.0]
2021-03-19 07:16:46.433014 [-1.1111111111111112, 0.0]
2021-03-19 07:17:23.557430 [0.0, 0.0]
2021-03-19 07:17:58.994710 [1.1111111111111112, 0.0]
2021-03-19 07:18:33.349616 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 07:19:08.133187: Observing: GPS-BIIF-11--PRN-10-
2021-03-19 07:19:08.133230: Az, el, state: 48.34, 25.59, Setting
2021-03-19 07:19:09.161888 [0.0, 4.444444444444445]
2021-03-19 07:20:20.418889 [0.0, 1.1111111111111112]
2021-03-19 07:20:54.507038 [0.0, 0.0]
2021-03-19 07:21:28.754546 [0.0, -1.1111111111111112]
2021-03-19 07:22:03.810041 [0.0, -4.444444444444445]
2021-03-19 07:22:38.002304 [-4.444444444444445, 0.0]
2021-03-19 07:23:15.366814 [-1.1111111111111112, 0.0]
2021-03-19 07:23:49.471006 [0.0, 0.0]
2021-03-19 07:24:20.687973 [1.1111111111111112, 0.0]
2021-03-19 07:24:51.624934 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 07:25:22.628079 [0.0, 4.444444444444445]
2021-03-19 07:25:56.463234 [0.0, 1.1111111111111112]
2021-03-19 07:26:30.652861 [0.0, 0.0]
2021-03-19 07:27:04.772270 [0.0, -1.1111111111111112]
2021-03-19 07:27:39.840666 [0.0, -4.444444444444445]
2021-03-19 07:28:14.453346 [-4.444444444444445, 0.0]
2021-03-19 07:28:51.977839 [-1.1111111111111112, 0.0]
2021-03-19 07:29:26.469407 [0.0, 0.0]
2021-03-19 07:29:58.847768 [1.1111111111111112, 0.0]
2021-03-19 07:30:31.203825 [4.444444444444445, 0.0]
Something went wrong with measuring power with ant: 3cSomething went wrong with measuring power with ant: 2b2021-03-19 07:31:02.951011: Observing: GPS-BIIF-12--PRN-32-
2021-03-19 07:31:02.951047: Az, el, state: 51.36, 55.88, Setting
2021-03-19 07:31:04.107055 [0.0, 4.444444444444445]
2021-03-19 07:32:15.355840 [0.0, 1.1111111111111112]
