2021-03-19 00:38:44.988839: Observing: GPS-BIIF-3---PRN-24-
2021-03-19 02:20:12.294884 [-4.444444444444445, 0.0]
2021-03-19 02:20:49.420028 [-1.1111111111111112, 0.0]
2021-03-19 02:21:23.579721 [0.0, 0.0]
2021-03-19 02:21:54.325831 [1.1111111111111112, 0.0]
2021-03-19 02:22:25.395458 [4.444444444444445, 0.0]
2021-03-19 02:22:56.852588: Observing: GPS-BIIR-13--PRN-02-
2021-03-19 02:22:56.852626: Az, el, state: 49.99, 43.10, Setting
2021-03-19 02:22:57.885424 [0.0, 4.444444444444445]
2021-03-19 02:24:09.331200 [0.0, 1.1111111111111112]
2021-03-19 02:24:43.314137 [0.0, 0.0]
2021-03-19 02:25:20.483942 [0.0, -1.1111111111111112]
2021-03-19 02:25:51.476411 [0.0, -4.444444444444445]
2021-03-19 02:26:25.444892 [-4.444444444444445, 0.0]
2021-03-19 02:27:02.376241 [-1.1111111111111112, 0.0]
2021-03-19 02:27:36.511572 [0.0, 0.0]
2021-03-19 02:28:07.488174 [1.1111111111111112, 0.0]
2021-03-19 02:28:38.641755 [4.444444444444445, 0.0]
2021-03-19 02:29:15.550949 [0.0, 4.444444444444445]
2021-03-19 02:29:49.400346 [0.0, 1.1111111111111112]
2021-03-19 02:30:26.452638 [0.0, 0.0]
2021-03-19 02:31:00.557101 [0.0, -1.1111111111111112]
2021-03-19 02:31:34.291360 [0.0, -4.444444444444445]
2021-03-19 02:32:08.234121 [-4.444444444444445, 0.0]
2021-03-19 02:32:45.491608 [-1.1111111111111112, 0.0]
2021-03-19 02:33:16.428381 [0.0, 0.0]
2021-03-19 02:33:47.290254 [1.1111111111111112, 0.0]
2021-03-19 02:34:21.299687 [4.444444444444445, 0.0]
2021-03-19 02:34:55.650363: Observing: GPS-BIIRM-5--PRN-29-
2021-03-19 02:34:55.650401: Az, el, state: 161.25, 46.32, Setting
2021-03-19 02:34:56.767600 [0.0, 4.444444444444445]
2021-03-19 02:36:04.407914 [0.0, 1.1111111111111112]
2021-03-19 02:36:41.582844 [0.0, 0.0]
2021-03-19 02:37:15.532317 [0.0, -1.1111111111111112]
2021-03-19 02:37:46.363401 [0.0, -4.444444444444445]
2021-03-19 02:38:20.346641 [-4.444444444444445, 0.0]
2021-03-19 02:38:57.511290 [-1.1111111111111112, 0.0]
2021-03-19 02:39:31.321316 [0.0, 0.0]
2021-03-19 02:40:06.294184 [1.1111111111111112, 0.0]
2021-03-19 02:40:37.322538 [4.444444444444445, 0.0]
2021-03-19 02:41:08.631782 [0.0, 4.444444444444445]
2021-03-19 02:41:42.249057 [0.0, 1.1111111111111112]
2021-03-19 02:42:16.433839 [0.0, 0.0]
2021-03-19 02:42:50.441452 [0.0, -1.1111111111111112]
2021-03-19 02:43:21.362821 [0.0, -4.444444444444445]
2021-03-19 02:43:55.558508 [-4.444444444444445, 0.0]
2021-03-19 02:44:32.358505 [-1.1111111111111112, 0.0]
